"Simulation" "Statistic" "Tool" "Value"
"210" "RSEMsim" "spearmans" "Kallisto_cor" 0.909652773517187
"211" "RSEMsim" "spearmans" "RSEM_cor" 0.860570095575397
"212" "RSEMsim" "spearmans" "Salmon_align_cor" 0.807799228716538
"213" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.874261341525917
"214" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.877577516044503
"215" "RSEMsim" "spearmans" "Sailfish_cor" 0.868381165569708
"216" "RSEMsim" "spearmans" "eXpress_cor" 0.560410282100206
"217" "RSEMsim" "spearmans" "Kallisto_cor" 0.877243600850312
"218" "RSEMsim" "spearmans" "RSEM_cor" 0.876909361920849
"219" "RSEMsim" "spearmans" "Salmon_align_cor" 0.800878096121304
"220" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.89118989076423
"221" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.893391309827399
"222" "RSEMsim" "spearmans" "Sailfish_cor" 0.885137976275599
"223" "RSEMsim" "spearmans" "eXpress_cor" 0.552182590305273
"224" "RSEMsim" "spearmans" "Kallisto_cor" 0.892523454539718
"225" "RSEMsim" "spearmans" "RSEM_cor" 0.8657878883618
"226" "RSEMsim" "spearmans" "Salmon_align_cor" 0.803598522226251
"227" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.872192802032552
"228" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.877919882149569
"229" "RSEMsim" "spearmans" "Sailfish_cor" 0.867167658703464
"230" "RSEMsim" "spearmans" "eXpress_cor" 0.555104065503935
"231" "RSEMsim" "spearmans" "Kallisto_cor" 0.872820088853976
"232" "RSEMsim" "spearmans" "RSEM_cor" 0.871353597280226
"233" "RSEMsim" "spearmans" "Salmon_align_cor" 0.806174734777205
"234" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.885332160023642
"235" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.892645827241647
"236" "RSEMsim" "spearmans" "Sailfish_cor" 0.879121000371168
"237" "RSEMsim" "spearmans" "eXpress_cor" 0.54934707084038
"238" "RSEMsim" "spearmans" "Kallisto_cor" 0.886746258979115
"239" "RSEMsim" "spearmans" "RSEM_cor" 0.862233497168245
"240" "RSEMsim" "spearmans" "Salmon_align_cor" 0.799198580787289
"241" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.871998858228691
