"Var1" "Var2" "value" "statistic"
"327" "Sailfish_cor" "ERR1211228" 0.822060482753839 "spearmans"
"328" "eXpress_cor" "ERR1211228" 0.597776752590896 "spearmans"
"329" "Kallisto_cor" "ERR1211228" 0.825533378095631 "spearmans"
"330" "RSEM_cor" "ERR1211229" 0.863389340869917 "spearmans"
"331" "Salmon_align_cor" "ERR1211229" 0.819138625326033 "spearmans"
"332" "Salmon_quasi_cor" "ERR1211229" 0.863557512833457 "spearmans"
"333" "Salmon_SMEM_cor" "ERR1211229" 0.872382479671694 "spearmans"
"334" "Sailfish_cor" "ERR1211229" 0.859335658364406 "spearmans"
"335" "eXpress_cor" "ERR1211229" 0.62277594649392 "spearmans"
"336" "Kallisto_cor" "ERR1211229" 0.866813532103008 "spearmans"
"337" "RSEM_cor" "ERR1211230" 0.883111461294147 "spearmans"
"338" "Salmon_align_cor" "ERR1211230" 0.850871598073975 "spearmans"
"339" "Salmon_quasi_cor" "ERR1211230" 0.882032100815482 "spearmans"
"340" "Salmon_SMEM_cor" "ERR1211230" 0.885304223667625 "spearmans"
"341" "Sailfish_cor" "ERR1211230" 0.877258476319669 "spearmans"
"342" "eXpress_cor" "ERR1211230" 0.657802532955775 "spearmans"
"343" "Kallisto_cor" "ERR1211230" 0.883476445491838 "spearmans"
"344" "RSEM_cor" "ERR1211231" 0.885656647710064 "spearmans"
"345" "Salmon_align_cor" "ERR1211231" 0.848111972870474 "spearmans"
"346" "Salmon_quasi_cor" "ERR1211231" 0.890250122594217 "spearmans"
"347" "Salmon_SMEM_cor" "ERR1211231" 0.89540491589035 "spearmans"
"348" "Sailfish_cor" "ERR1211231" 0.885542084970382 "spearmans"
"349" "eXpress_cor" "ERR1211231" 0.663292984666916 "spearmans"
"350" "Kallisto_cor" "ERR1211231" 0.892118097448677 "spearmans"
"351" "RSEM_cor" "ERR1211232" 0.87947280343456 "spearmans"
"352" "Salmon_align_cor" "ERR1211232" 0.838905261902517 "spearmans"
"353" "Salmon_quasi_cor" "ERR1211232" 0.883479060685321 "spearmans"
"354" "Salmon_SMEM_cor" "ERR1211232" 0.887509470636623 "spearmans"
"355" "Sailfish_cor" "ERR1211232" 0.879167665381636 "spearmans"
"356" "eXpress_cor" "ERR1211232" 0.652068375337094 "spearmans"
"357" "Kallisto_cor" "ERR1211232" 0.885496355468933 "spearmans"
"358" "RSEM_cor" "ERR1211233" 0.877535835654519 "spearmans"
"359" "Salmon_align_cor" "ERR1211233" 0.837462944963767 "spearmans"
"360" "Salmon_quasi_cor" "ERR1211233" 0.883098208022297 "spearmans"
"361" "Salmon_SMEM_cor" "ERR1211233" 0.887239891190476 "spearmans"
"362" "Sailfish_cor" "ERR1211233" 0.87775615152396 "spearmans"
"363" "eXpress_cor" "ERR1211233" 0.648411782210163 "spearmans"
"364" "Kallisto_cor" "ERR1211233" 0.884876932311509 "spearmans"
"365" "RSEM_cor" "ERR1211234" 0.843436614787865 "spearmans"
"366" "Salmon_align_cor" "ERR1211234" 0.80229980505726 "spearmans"
"367" "Salmon_quasi_cor" "ERR1211234" 0.835374507311729 "spearmans"
