"Simulation" "Statistic" "Tool" "Value" "ID"
"256" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 15.4 "all"
"257" "RSEMsim" "nrmse" "Sailfish_nmrse" 16.8 "all"
"258" "RSEMsim" "nrmse" "eXpress_nmrse" 42.6 "all"
"259" "RSEMsim" "nrmse" "Kallisto_nmrse" 15.7 "all"
"260" "RSEMsim" "nrmse" "RSEM_nmrse" 18.1 "all"
"261" "RSEMsim" "nrmse" "Salmon_align_nmrse" 26.7 "all"
"262" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 16.7 "all"
"263" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 16.4 "all"
"264" "RSEMsim" "nrmse" "Sailfish_nmrse" 18.2 "all"
"265" "RSEMsim" "nrmse" "eXpress_nmrse" 42.7 "all"
"266" "RSEMsim" "nrmse" "Kallisto_nmrse" 16.6 "all"
"267" "RSEMsim" "nrmse" "RSEM_nmrse" 19.2 "all"
"268" "RSEMsim" "nrmse" "Salmon_align_nmrse" 27.4 "all"
"269" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 15.2 "all"
"270" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 14.4 "all"
"271" "RSEMsim" "nrmse" "Sailfish_nmrse" 18.3 "all"
"272" "RSEMsim" "nrmse" "eXpress_nmrse" 52.4 "all"
"273" "RSEMsim" "nrmse" "Kallisto_nmrse" 14.8 "all"
"274" "RSEMsim" "nrmse" "RSEM_nmrse" 19.9 "all"
"275" "RSEMsim" "nrmse" "Salmon_align_nmrse" 27.9 "all"
"276" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 17.1 "all"
"277" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 16.7 "all"
"278" "RSEMsim" "nrmse" "Sailfish_nmrse" 18 "all"
"279" "RSEMsim" "nrmse" "eXpress_nmrse" 39.3 "all"
"280" "RSEMsim" "nrmse" "Kallisto_nmrse" 16.9 "all"
"281" "RSEMsim" "nrmse" "RSEM_nmrse" 20.4 "all"
"282" "RSEMsim" "nrmse" "Salmon_align_nmrse" 29.2 "all"
"283" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 16.9 "all"
"284" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 16.6 "all"
"285" "RSEMsim" "nrmse" "Sailfish_nmrse" 17.5 "all"
"286" "RSEMsim" "nrmse" "eXpress_nmrse" 41.5 "all"
"287" "RSEMsim" "nrmse" "Kallisto_nmrse" 16.9 "all"
"288" "RSEMsim" "nrmse" "RSEM_nmrse" 18.6 "all"
"289" "RSEMsim" "nrmse" "Salmon_align_nmrse" 27.3 "all"
"290" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 17.1 "all"
"291" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 16.9 "all"
"292" "RSEMsim" "nrmse" "Sailfish_nmrse" 18.1 "all"
"293" "RSEMsim" "nrmse" "eXpress_nmrse" 39.3 "all"
"294" "RSEMsim" "nrmse" "Kallisto_nmrse" 17 "all"
"295" "RSEMsim" "nrmse" "RSEM_nmrse" 18.4 "all"
"296" "RSEMsim" "nrmse" "Salmon_align_nmrse" 27.6 "all"
"297" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 16.6 "all"
"298" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 16.3 "all"
"299" "RSEMsim" "nrmse" "Sailfish_nmrse" 16.1 "all"
"300" "RSEMsim" "nrmse" "eXpress_nmrse" 42.5 "all"
"301" "RSEMsim" "nrmse" "Kallisto_nmrse" 16.3 "all"
"302" "RSEMsim" "nrmse" "RSEM_nmrse" 19.6 "all"
"303" "RSEMsim" "nrmse" "Salmon_align_nmrse" 27.8 "all"
"304" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 16.4 "all"
"305" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 16.4 "all"
"306" "RSEMsim" "nrmse" "Sailfish_nmrse" 17.9 "all"
"307" "RSEMsim" "nrmse" "eXpress_nmrse" 39.5 "all"
"308" "RSEMsim" "nrmse" "Kallisto_nmrse" 16.5 "all"
"309" "RSEMsim" "nrmse" "RSEM_nmrse" 18.7 "all"
"310" "RSEMsim" "nrmse" "Salmon_align_nmrse" 27.5 "all"
